title,authors,year,conference,link
MAAS: Multi-modal Assignation for Active Speaker Detection.,"['Juan León Alcázar', 'Fabian Caba Heilbron', 'Ali K. Thabet', 'Bernard Ghanem']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00033
Move2Hear: Active Audio-Visual Source Separation.,"['Sagnik Majumder', 'Ziad Al-Halah', 'Kristen Grauman']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00034
Image2Reverb: Cross-Modal Reverb Impulse Response Synthesis.,"['Nikhil Singh', 'Jeff Mentch', 'Jerry Ng', 'Matthew Beveridge', 'Iddo Drori']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00035
Multi-modality Associative Bridging through Memory: Speech Sound Recollected from Face Video.,"['Minsu Kim', 'Joanna Hong', 'Se Jin Park', 'Yong Man Ro']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00036
BN-NAS: Neural Architecture Search with Batch Normalization.,"['Boyu Chen', 'Peixia Li', 'Baopu Li', 'Chen Lin', 'Chuming Li', 'Ming Sun', 'Junjie Yan', 'Wanli Ouyang']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00037
Differentiable Dynamic Wirings for Neural Networks.,"['Kun Yuan', 'Quanquan Li', 'Shaopeng Guo', 'Dapeng Chen', 'Aojun Zhou', 'Fengwei Yu', 'Ziwei Liu']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00038
AutoSpace: Neural Architecture Search with Less Human Interference.,"['Daquan Zhou', 'Xiaojie Jin', 'Xiaochen Lian', 'Linjie Yang', 'Yujing Xue', 'Qibin Hou', 'Jiashi Feng']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00039
Zen-NAS: A Zero-Shot NAS for High-Performance Image Recognition.,"['Ming Lin', 'Pichao Wang', 'Zhenhong Sun', 'Hesen Chen', 'Xiuyu Sun', 'Qi Qian', 'Hao Li', 'Rong Jin']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00040
CrossViT: Cross-Attention Multi-Scale Vision Transformer for Image Classification.,"['Chun-Fu (Richard) Chen', 'Quanfu Fan', 'Rameswar Panda']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00041
Conformer: Local Features Coupling Global Representations for Visual Recognition.,"['Zhiliang Peng', 'Wei Huang', 'Shanzhi Gu', 'Lingxi Xie', 'Yaowei Wang', 'Jianbin Jiao', 'Qixiang Ye']",2021,ICCV 2021,https://doi.org/10.1109/ICCV48922.2021.00042
