title,authors,year,conference,link
In Which Graph Structures Can We Efficiently Find Temporally Disjoint Paths and Walks?,"['Pascal Kunz', 'Hendrik Molter', 'Meirav Zehavi']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/21
Probabilistic Planning with Prioritized Preferences over Temporal Logic Objectives.,"['Lening Li', 'Hazhar Rahmani', 'Jie Fu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/22
GPLight: Grouped Multi-agent Reinforcement Learning for Large-scale Traffic Signal Control.,"['Yilin Liu', 'Guiyang Luo', 'Quan Yuan', 'Jinglin Li', 'Lei Jin', 'Bo Chen', 'Rui Pan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/23
Deep Hierarchical Communication Graph in Multi-Agent Reinforcement Learning.,"['Zeyang Liu', 'Lipeng Wan', 'Xue Sui', 'Zhuoran Chen', 'Kewu Sun', 'Xuguang Lan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/24
The #DNN-Verification Problem: Counting Unsafe Inputs for Deep Neural Networks.,"['Luca Marzari', 'Davide Corsi', 'Ferdinando Cicalese', 'Alessandro Farinelli']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/25
Discounting in Strategy Logic.,"['Munyque Mittelmann', 'Aniello Murano', 'Laurent Perrussel']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/26
"Why Rumors Spread Fast in Social Networks, and How to Stop It.","['Ahad N. Zehmakan', 'Charlotte Out', 'Sajjad Hesamipour Khelejan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/27
Improving LaCAM for Scalable Eventually Optimal Multi-Agent Pathfinding.,['Keisuke Okumura'],2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/28
Quick Multi-Robot Motion Planning by Combining Sampling and Search.,"['Keisuke Okumura', 'Xavier Défago']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/29
Asynchronous Communication Aware Multi-Agent Task Allocation.,"['Ben Rachmut', 'Sofia Amador Nelke', 'Roie Zivan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/30
Towards a Better Understanding of Learning with Multiagent Teams.,"['David Radke', 'Kate Larson', 'Tim Brecht', 'Kyle Tilbury']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/31
Multi-Agent Systems with Quantitative Satisficing Goals.,"['Senthil Rajasekaran', 'Suguman Bansal', 'Moshe Y. Vardi']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/32
Norm Deviation in Multiagent Systems: A Foundation for Responsible Autonomy.,"['Amika M. Singh', 'Munindar P. Singh']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/33
CVTP3D: Cross-view Trajectory Prediction Using Shared 3D Queries for Autonomous Driving.,"['Zijian Song', 'Huikun Bi', 'Ruisi Zhang', 'Tianlu Mao', 'Zhaoqi Wang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/34
Optimal Anytime Coalition Structure Generation Utilizing Compact Solution Space Representation.,"['Redha Taguelmimt', 'Samir Aknine', 'Djamila Boukredera', 'Narayan Changder', 'Tuomas Sandholm']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/35
Modeling Moral Choices in Social Dilemmas with Multi-Agent Reinforcement Learning.,"['Elizaveta Tennant', 'Stephen Hailes', 'Mirco Musolesi']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/36
Exploration via Joint Policy Diversity for Sparse-Reward Multi-Agent Tasks.,"['Pei Xu', 'Junge Zhang', 'Kaiqi Huang']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/37
Measuring Acoustics with Collaborative Multiple Agents.,"['Yinfeng Yu', 'Changan Chen', 'Lele Cao', 'Fangkai Yang', 'Fuchun Sun']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/38
Dynamic Belief for Decentralized Multi-Agent Cooperative Learning.,"['Yunpeng Zhai', 'Peixi Peng', 'Chen Su', 'Yonghong Tian']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/39
Inducing Stackelberg Equilibrium through Spatio-Temporal Sequential Decision-Making in Multi-Agent Reinforcement Learning.,"['Bin Zhang', 'Lijuan Li', 'Zhiwei Xu', 'Dapeng Li', 'Guoliang Fan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/40
Quantifying Harm.,"['Sander Beckers', 'Hana Chockler', 'Joseph Y. Halpern']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/41
Analyzing Intentional Behavior in Autonomous Agents under Uncertainty.,"['Filip Cano Córdoba', 'Samuel Judson', 'Timos Antonopoulos', 'Katrine Bjørner', 'Nicholas Shoemaker', 'Scott J. Shapiro', 'Ruzica Piskac', 'Bettina Könighofer']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/42
Choose your Data Wisely: A Framework for Semantic Counterfactuals.,"['Edmund Dervakos', 'Konstantinos Thomas', 'Giorgos Filandrianos', 'Giorgos Stamou']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/43
Group Fairness in Set Packing Problems.,"['Sharmila Duppala', 'Juan Luque', 'John P. Dickerson', 'Aravind Srinivasan']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/44
Incentivizing Recourse through Auditing in Strategic Classification.,"['Andrew Estornell', 'Yatong Chen', 'Sanmay Das', 'Yang Liu', 'Yevgeniy Vorobeychik']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/45
Sampling Ex-Post Group-Fair Rankings.,"['Sruthi Gorantla', 'Amit Deshpande', 'Anand Louis']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/46
Moral Planning Agents with LTL Values.,"['Umberto Grandi', 'Emiliano Lorini', 'Timothy Parker']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/47
Advancing Post-Hoc Case-Based Explanation with Feature Highlighting.,"['Eoin M. Kenny', 'Eoin Delaney', 'Mark T. Keane']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/48
Fairness via Group Contribution Matching.,"['Tianlin Li', 'Zhiming Li', 'Anran Li', 'Mengnan Du', 'Aishan Liu', 'Qing Guo', 'Guozhu Meng', 'Yang Liu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/49
Negative Flux Aggregation to Estimate Feature Attributions.,"['Xin Li', 'Deng Pan', 'Chengyin Li', 'Yao Qiang', 'Dongxiao Zhu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/50
Robust Reinforcement Learning via Progressive Task Sequence.,"['Yike Li', 'Yunzhe Tian', 'Endong Tong', 'Wenjia Niu', 'Jiqiang Liu']",2023,IJCAI 2023,https://doi.org/10.24963/ijcai.2023/51
