行业大类,富豪数量,财富总值(亿元),平均财富(亿元)
电子信息制造,91,14811.0,162.76
机械与装备制造,36,4080.0,113.33
材料与化工,78,15633.0,200.42
能源与环保,70,14031.0,200.44
信息技术与互联网,89,27689.2,311.11
医疗健康,96,20387.0,212.36
金融与投资,154,32354.0,210.09
商贸与消费,74,10502.0,141.92
食品与农业,69,19003.0,275.41
物流与供应链,31,6689.0,215.77
房地产与建筑,165,31398.2,190.29
交通运输与航空航天,53,10176.0,192.0
文化、教育与体育,43,6503.0,151.23
公共服务与生活服务,27,3683.0,136.41
矿业与资源,27,3671.0,135.96
其他特殊行业,251,40741.0,162.31
